District,DistrictCode,IDE,TotalEmployees,EPP,Total,Pupils,TotalEPP
Abby Kelley Foster Charter Public (District),4450000,22455445,1423,15781,22455445,1423,15781
Abington,10000,33667340,2151,15650,38794704,2297,16892
Academy Of the Pacific Rim Charter Public (District),4120000,11731130,504,23264,11731130,504,23264
Acton-Boxborough,6000000,94671027,5243,18058,103747255,5371,19315
Acushnet,30000,14347713,943,15218,18458602,1236,14937
Advanced Math and Science Academy Charter (District),4300000,14353115,965,14870,14353115,965,14870
Agawam,50000,68476267,3495,19593,75381227,3675,20510
Alma del Mar Charter School (District),4090000,15723331,936,16797,15723331,936,16797
Amesbury,70000,37513814,1807,20763,43177096,1997,21622
Amherst,80000,29351387,1052,27911,31801981,1175,27075
Amherst-Pelham,6050000,30276466,1265,23932,34142146,1410,24213
Andover,90000,117698618,5537,21257,125414087,5644,22222
Argosy Collegiate Charter School (District),35090000,9191809,545,16862,9191809,545,16862
Arlington,100000,106679921,5971,17868,113146782,6078,18615
Ashburnham-Westminster,6100000,33183820,2267,14639,35695883,2368,15076
Ashland,140000,44058401,2919,15092,47967197,2984,16074
Assabet Valley Regional Vocational Technical,8010000,28530789,1152,24775,28576059,1152,24814
Athol-Royalston,6150000,25683519,1551,16557,30498603,1839,16583
Atlantis Charter (District),4910000,17988507,1286,13989,17988507,1286,13989
Attleboro,160000,91035634,5904,15421,100065396,6367,15716
Auburn,170000,39950537,2582,15473,41126549,2632,15626
Avon,180000,13992796,710,19714,15245741,740,20591
Ayer Shirley School District,6160000,30090579,1611,18677,34902108,1858,18783
Barnstable,200000,96512390,4859,19865,107274187,5481,19573
Baystate Academy Charter Public School (District),35020000,7073431,442,15996,7073431,442,15996
Bedford,230000,53990205,2628,20542,59388264,2686,22107
Belchertown,240000,35314386,2131,16570,38246424,2330,16413
Bellingham,250000,41022404,1991,20603,48041586,2325,20659
Belmont,260000,71920035,4364,16479,82755349,4523,18295
Benjamin Banneker Charter Public (District),4200000,7739068,329,23521,7739068,329,23521
Benjamin Franklin Classical Charter Public (District),4470000,11378817,819,13891,11378817,819,13891
Berkley,270000,12511355,877,14273,12832289,894,14349
Berkshire Arts and Technology Charter Public (District),4140000,7207353,362,19915,7207353,362,19915
Berkshire Hills,6180000,31149088,1200,25955,33950215,1301,26104
Berlin-Boylston,6200000,18666943,1035,18037,20457755,1098,18627
Beverly,300000,73637608,4689,15706,82696386,4863,17006
Billerica,310000,91231469,4797,19018,99015564,5024,19709
Blackstone Valley Regional Vocational Technical,8050000,27902328,1241,22480,27907328,1242,22466
Blackstone-Millville,6220000,26079558,1517,17194,29968776,1699,17643
Blue Hills Regional Vocational Technical,8060000,22894690,920,24880,22909401,922,24842
Boston,350000,1436259333,47706,30107,1781572359,61684,28882
Boston Collegiate Charter (District),4490000,14747764,702,21005,14747764,702,21005
Boston Day and Evening Academy Charter (District),4240000,6417678,341,18837,6417678,341,18837
Boston Green Academy Horace Mann Charter School (District),4110000,8029438,465,17271,8029438,465,17271
Boston Preparatory Charter Public (District),4160000,16544909,682,24258,16544909,682,24258
Boston Renaissance Charter Public (District),4810000,18870938,936,20165,18870938,936,20165
Bourne,360000,33942475,1587,21395,39252440,1866,21038
Boxford,380000,15288663,759,20148,16353908,772,21195
Braintree,400000,87436419,5462,16009,95592219,5582,17124
Brewster,410000,10821962,435,24890,11045267,453,24409
Bridge Boston Charter School (District),4170000,9870967,332,29701,9870967,332,29701
Bridgewater-Raynham,6250000,79497996,5453,14578,86114628,5698,15112
Brimfield,430000,5148530,274,18770,5749154,290,19838
Bristol County Agricultural,9100000,10552009,491,21508,10552009,491,21508
Bristol-Plymouth Regional Vocational Technical,8100000,28244922,1337,21122,28332291,1353,20948
Brockton,440000,308511732,15128,20394,346500308,17037,20338
Brooke Charter School (District),4280000,40108650,2150,18655,40108650,2150,18655
Brookfield,450000,4428984,280,15823,4786974,292,16371
Brookline,460000,175203822,7034,24908,183509688,7112,25802
Burlington,480000,79817285,3465,23033,90841699,3591,25297
Cambridge,490000,231949471,6639,34938,268520449,7314,36712
Canton,500000,58337820,3243,17988,66364162,3347,19829
Cape Cod Lighthouse Charter (District),4320000,4346956,249,17440,4346956,249,17440
Cape Cod Regional Vocational Technical,8150000,17375334,641,27098,17423057,644,27050
Carlisle,510000,13645333,622,21955,14261370,630,22655
Carver,520000,26892776,1511,17793,29793748,1611,18493
Central Berkshire,6350000,28242831,1545,18284,31389895,1760,17839
Chelmsford,560000,80101946,4996,16035,87973130,5234,16808
Chelsea,570000,111764089,6164,18133,144451975,7311,19758
Chesterfield-Goshen,6320000,2810514,148,18952,3093857,158,19581
Chicopee,610000,132515618,6853,19338,142372328,7531,18904
Christa McAuliffe Charter Public (District),4180000,6563531,384,17100,6563531,384,17100
City on a Hill Charter Public School (District),4370000,6037307,218,27699,6037307,218,27699
Clarksburg,630000,3013670,208,14510,4012564,255,15754
Clinton,640000,31720036,1941,16345,38128536,2233,17076
Codman Academy Charter Public (District),4380000,9866959,341,28912,9866959,341,28912
Cohasset,650000,28939436,1424,20330,31744510,1461,21731
Collegiate Charter School of Lowell (District),35030000,12215122,1094,11168,12215122,1094,11168
Community Charter School of Cambridge (District),4360000,7096876,288,24633,7096876,288,24633
Community Day Charter Public School - Gateway (District),4260000,6421564,399,16111,6421564,399,16111
Community Day Charter Public School - Prospect (District),4400000,7151447,399,17945,7151447,399,17945
Community Day Charter Public School - R. Kingman Webster (District),4310000,6191634,395,15684,6191634,395,15684
Concord,670000,46581756,2007,23214,50393823,2030,24822
Concord-Carlisle,6400000,30545963,1325,23059,33808579,1362,24823
Conservatory Lab Charter (District),4390000,9488727,444,21354,9488727,444,21354
Conway,680000,3536281,145,24338,3625836,152,23807
Danvers,710000,58735284,3247,18092,65606932,3378,19422
Dartmouth,720000,55385867,3429,16154,61307729,3544,17300
Dedham,730000,60569643,2588,23401,66898333,2713,24661
Deerfield,740000,6728875,330,20391,7208557,373,19347
Dennis-Yarmouth,6450000,63534341,2795,22732,72398753,3358,21558
Dighton-Rehoboth,6500000,44527678,2620,16995,47007532,2708,17361
Douglas,770000,19724369,1175,16792,22119207,1254,17635
Dover,780000,10576133,501,21097,12691430,508,24988
Dover-Sherborn,6550000,26800423,1173,22842,28103605,1204,23350
Dracut,790000,48788856,3677,13270,56039180,4053,13827
Dudley Street Neighborhood Charter School (District),4070000,5516715,285,19390,5516715,285,19390
Dudley-Charlton Reg,6580000,54392061,3495,15565,58482317,3605,16223
Duxbury,820000,50327864,2802,17963,53182261,2855,18626
East Bridgewater,830000,31014714,2107,14718,33756919,2207,15299
East Longmeadow,870000,42281822,2511,16838,46472108,2606,17836
Eastham,850000,5073977,190,26663,5215995,210,24803
Easthampton,860000,24133979,1422,16975,30355439,1753,17320
Easton,880000,53870340,3445,15637,58694405,3528,16635
Edgartown,890000,11402245,416,27389,12304029,459,26830
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,11343771,371,30572,11343771,371,30572
Erving,910000,4537994,134,33815,5994004,220,27221
Essex North Shore Agricultural and Technical School District,8170000,36586049,1641,22295,37058509,1649,22469
Everett,930000,130899154,7237,18087,150834789,8057,18721
Excel Academy Charter (District),4100000,26812761,1374,19509,26812761,1374,19509
Fairhaven,940000,29109354,1857,15680,31477734,1929,16315
Fall River,950000,194340234,10565,18395,230261525,12638,18220
Falmouth,960000,70022534,3061,22874,76169725,3300,23080
Farmington River Reg,6620000,4082359,116,35193,5230654,253,20707
Fitchburg,970000,87271738,5208,16758,104361536,5962,17504
Florida,980000,1837898,103,17826,1954559,115,17026
Four Rivers Charter Public (District),4130000,3972200,219,18164,3972200,219,18164
Foxborough,990000,48246684,2486,19405,54314109,2640,20577
Foxborough Regional Charter (District),4460000,24057766,1665,14449,24057766,1665,14449
Framingham,1000000,197884627,9223,21455,224379948,9979,22484
Francis W. Parker Charter Essential (District),4780000,6206037,382,16236,6206037,382,16236
Franklin,1010000,79441841,4789,16590,92932730,5265,17651
Franklin County Regional Vocational Technical,8180000,14470535,559,25900,14470535,559,25900
Freetown-Lakeville,6650000,41201527,2770,14875,44909720,2896,15508
Frontier,6700000,12128353,608,19958,14131007,688,20542
Gardner,1030000,35686851,2287,15602,39761193,2547,15613
Gateway,6720000,16844927,741,22739,18137285,843,21513
Georgetown,1050000,21624372,1268,17053,23877323,1320,18088
Gill-Montague,6740000,20598136,844,24394,24520778,1145,21412
Global Learning Charter Public (District),4960000,7676440,502,15299,7676440,502,15299
Gloucester,1070000,58024189,2869,20226,63676837,3174,20064
Grafton,1100000,49667186,3156,15737,52898788,3267,16192
Granby,1110000,13040227,708,18408,14133392,792,17838
Greater Commonwealth Virtual District,39010000,11855419,1085,10923,11855419,1085,10923
Greater Fall River Regional Vocational Technical,8210000,33372314,1435,23253,33441121,1448,23095
Greater Lawrence Regional Vocational Technical,8230000,51567507,1645,31346,51646016,1657,31168
Greater Lowell Regional Vocational Technical,8280000,55063374,2318,23753,55230970,2348,23526
Greater New Bedford Regional Vocational Technical,8250000,51406050,2088,24619,51462525,2096,24559
Greenfield,1140000,30758052,1581,19455,38499949,1984,19404
Groton-Dunstable,6730000,43917937,2353,18668,47683843,2459,19392
Hadley,1170000,9641773,511,18857,11708518,629,18615
