District,DistrictC,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Abby Kelley Foster Charter Public (District),4450000,ELA,258,37,22,3,236,34,324,47,112,16,694,99,492,32,449
Abby Kelley Foster Charter Public (District),4450000,MATH,109,16,4,1,105,15,398,57,187,27,694,99,480,22,449
Abby Kelley Foster Charter Public (District),4450000,SCI,59,27,6,3,53,25,118,55,38,18,215,100,489,,
Abington,10000,ELA,479,53,85,9,394,44,300,33,122,14,901,95,500,39,546
Abington,10000,MATH,294,33,36,4,258,29,453,51,147,16,894,94,490,25,538
Abington,10000,SCI,121,43,18,6,103,37,131,47,28,10,280,94,497,,
Academy Of the Pacific Rim Charter Public (District),4120000,ELA,65,25,4,2,61,23,120,46,76,29,261,96,483,31,245
Academy Of the Pacific Rim Charter Public (District),4120000,MATH,26,10,1,0,25,9,146,55,92,35,264,97,477,24,249
Academy Of the Pacific Rim Charter Public (District),4120000,SCI,12,13,0,0,12,13,49,53,31,34,92,89,478,,
Acton-Boxborough,6000000,ELA,1636,69,388,16,1248,53,618,26,119,5,2373,97,510,43,1486
Acton-Boxborough,6000000,MATH,1553,65,386,16,1167,49,668,28,152,6,2373,97,508,53,1483
Acton-Boxborough,6000000,SCI,496,67,146,20,350,48,204,28,35,5,735,97,510,,
Acushnet,30000,ELA,298,51,55,9,243,42,219,38,67,11,584,98,501,35,372
Acushnet,30000,MATH,245,42,27,5,218,37,267,46,71,12,583,98,496,32,375
Acushnet,30000,SCI,80,39,10,5,70,34,85,42,38,19,203,99,494,,
Advanced Math and Science Academy Charter (District),4300000,ELA,232,65,46,13,186,52,114,32,12,3,358,96,509,41,311
Advanced Math and Science Academy Charter (District),4300000,MATH,183,51,53,15,130,36,150,41,29,8,362,97,503,33,316
Advanced Math and Science Academy Charter (District),4300000,SCI,48,64,3,4,45,60,26,35,1,1,75,96,506,,
Agawam,50000,ELA,567,43,67,5,500,38,579,44,171,13,1317,83,496,32,776
Agawam,50000,MATH,442,34,52,4,390,30,642,49,231,18,1315,83,491,27,775
Agawam,50000,SCI,156,44,16,5,140,40,148,42,50,14,354,71,496,,
Alma del Mar Charter School (District),4090000,ELA,208,43,23,5,185,38,202,42,74,15,484,99,494,31,307
Alma del Mar Charter School (District),4090000,MATH,106,22,6,1,100,21,255,53,123,25,484,99,483,15,307
Alma del Mar Charter School (District),4090000,SCI,18,20,1,1,17,19,47,53,23,26,88,100,482,,
