District,DistrictC,Salary Totals,Average Salary,FTE Count
Abby Kelley Foster Charter Public (District),4450000,7586419,66422,114
Abington,10000,12181431,92005,132
Academy Of the Pacific Rim Charter Public (District),4120000,3503450,67505,52
Acton-Boxborough,6000000,36991103,91268,405
Acushnet,30000,5221793,76566,68
Advanced Math and Science Academy Charter (District),4300000,5323822,72386,74
Agawam,50000,26272816,85887,306
Alma del Mar Charter School (District),4090000,4016617,63754,63
Amesbury,70000,13799456,86626,159
Amherst,80000,9694674,83719,116
Amherst-Pelham,6050000,9704310,84020,116
Andover,90000,45752152,94627,484
Argosy Collegiate Charter School (District),35090000,2541092,65775,39
Arlington,100000,38878430,83466,466
Ashburnham-Westminster,6100000,12000752,74493,161
Ashland,140000,17508149,84499,207
Assabet Valley Regional Vocational Technical,8010000,10036319,92929,108
Athol-Royalston,6150000,7818289,67691,116
Atlantis Charter (District),4910000,4893011,49544,99
Attleboro,160000,34799179,89550,389
Auburn,170000,14367883,80268,179
Avon,180000,5523528,86036,64
Ayer Shirley School District,6160000,10119963,72701,139
Barnstable,200000,34915501,85472,409
Baystate Academy Charter Public School (District),35020000,2656998,50570,53
Bedford,230000,24270763,102581,237
Belchertown,240000,12701375,75874,167
Bellingham,250000,13991946,85213,164
Belmont,260000,28236336,101061,279
Benjamin Banneker Charter Public (District),4200000,1859184,93113,20
Benjamin Franklin Classical Charter Public (District),4470000,4010915,72946,55
Berkley,270000,5021511,77612,65
Berkshire Arts and Technology Charter Public (District),4140000,2021770,53645,38
Berkshire Hills,6180000,9271561,83528,111
Berlin-Boylston,6200000,6987556,77040,91
Beverly,300000,28710045,84765,339
Billerica,310000,35220392,96126,366
Blackstone Valley Regional Vocational Technical,8050000,8911769,84520,105
Blackstone-Millville,6220000,8907761,82251,108
Blue Hills Regional Vocational Technical,8060000,7939694,96122,83
Boston,350000,481668763,104813,4596
Boston Collegiate Charter (District),4490000,5591786,80772,69
Boston Day and Evening Academy Charter (District),4240000,3037648,116644,26
Boston Green Academy Horace Mann Charter School (District),4110000,4020150,92939,43
Boston Preparatory Charter Public (District),4160000,4468443,76320,59
Boston Renaissance Charter Public (District),4810000,6350118,76505,83
Bourne,360000,13186684,94325,140
Boxford,380000,5328238,81847,65
Braintree,400000,39172634,90218,434
Brewster,410000,3837468,81648,47
Bridge Boston Charter School (District),4170000,2733609,65087,42
Bridgewater-Raynham,6250000,30730475,92617,332
Brimfield,430000,2226401,89414,25
Bristol County Agricultural,9100000,2679245,76115,35
Bristol-Plymouth Regional Vocational Technical,8100000,10058370,94783,106
Brockton,440000,101375149,102794,986
Brooke Charter School (District),4280000,13919417,77671,179
Brookfield,450000,1608613,72788,22
Brookline,460000,68241445,101158,675
Burlington,480000,31257450,99104,315
Cambridge,490000,74361751,96662,769
Canton,500000,22903929,93030,246
Cape Cod Lighthouse Charter (District),4320000,1794564,99637,18
Cape Cod Regional Vocational Technical,8150000,5443194,92887,59
Carlisle,510000,6362005,110836,57
Carver,520000,9448539,73358,129
Central Berkshire,6350000,9232004,80278,115
Chelmsford,560000,31266382,82957,377
Chelsea,570000,33421047,80108,417
Chesterfield-Goshen,6320000,1035995,79692,13
Chicopee,610000,48888835,83343,587
Christa McAuliffe Charter Public (District),4180000,2666545,67851,39
City on a Hill Charter Public School Circuit Street (District),4370000,1306386,60864,22
Clarksburg,630000,1118821,77696,14
Clinton,640000,11143613,74489,150
Codman Academy Charter Public (District),4380000,2393871,50789,47
Cohasset,650000,10840801,90946,119
Collegiate Charter School of Lowell (District),35030000,2670642,56158,48
Community Charter School of Cambridge (District),4360000,2545502,84551,30
Community Day Charter Public School - Gateway (District),4260000,2340196,57084,41
Community Day Charter Public School - Prospect (District),4400000,2387439,55555,43
Community Day Charter Public School - R. Kingman Webster (District),4310000,2184295,52639,42
Concord,670000,18533618,108511,171
Concord-Carlisle,6400000,11843143,117960,100
Conservatory Lab Charter (District),4390000,2724254,97295,28
Conway,680000,1074780,78451,14
Danvers,710000,23334558,92451,252
Dartmouth,720000,22738042,84371,270
Dedham,730000,22261536,96958,230
Deerfield,740000,2258958,61053,37
Dennis-Yarmouth,6450000,23886410,88109,271
Dighton-Rehoboth,6500000,17483056,82157,213
Douglas,770000,6982527,71763,97
Dover,780000,3842940,98285,39
Dover-Sherborn,6550000,11010867,104766,105
Dracut,790000,17000491,73058,233
Dudley Street Neighborhood Charter School (District),4070000,1900746,92719,21
